,timestamps,symbol1,symbol2,pnl,ai_position,vr_position,ratio,beta
11475,2025-02-24 23:16:00,0.3014,1.0293,0.0,1,-1,-0.02701658809548868,0.7854913434771679
11476,2025-02-24 23:17:00,0.3022,1.0301,0.0,1,-1,-0.028323112075691825,0.7854816366325958
11477,2025-02-24 23:18:00,0.3033,1.0318,0.0,1,-1,-0.02952924916719324,0.7854721994948943
11478,2025-02-24 23:19:00,0.3037,1.0309,0.0,1,-1,-0.03143811102757521,0.7854631065109638
11479,2025-02-24 23:20:00,0.304,1.0331,0.0,1,-1,-0.030082932392009876,0.7854538037572897
11480,2025-02-24 23:21:00,0.3014,1.0294,0.0,1,-1,-0.02692557881757751,0.7854442073216609
11481,2025-02-24 23:22:00,0.3,1.0273,0.0,1,-1,-0.025312285275123747,0.7854344883584149
11482,2025-02-24 23:23:00,0.2988,1.0228,0.0,1,-1,-0.02655567332201414,0.7854250956567728
11483,2025-02-24 23:24:00,0.2999,1.0208,0.0,1,-1,-0.031400190571188036,0.7854162734408691
11484,2025-02-24 23:25:00,0.2992,1.0166,0.0,1,-1,-0.0336886276729208,0.7854076488950503
11485,2025-02-24 23:26:00,0.2991,1.018,0.0,1,-1,-0.032050968955635195,0.7853986254344025
11486,2025-02-24 23:27:00,0.2975,1.0139,0.0,1,-1,-0.03187514082858234,0.7853892470525323
11487,2025-02-24 23:28:00,0.2961,1.0104,0.0,1,-1,-0.03162952525541474,0.7853806234520782
11488,2025-02-24 23:29:00,0.298,1.011,0.0,1,-1,-0.03606018389918897,0.7853721713141086
11489,2025-02-24 23:30:00,0.3,1.0134,0.0,1,-1,-0.038943012780260466,0.7853641374426216
11490,2025-02-24 23:31:00,0.3017,1.0177,0.0,1,-1,-0.0391470365300951,0.7853567607883413
11491,2025-02-24 23:32:00,0.3013,1.0174,0.0,1,-1,-0.03840034366103284,0.785349290639521
11492,2025-02-24 23:33:00,0.2994,1.0108,0.0,1,-1,-0.03994075615496606,0.7853423917505221
11493,2025-02-24 23:34:00,0.2991,1.0079,0.0,1,-1,-0.04202650357144566,0.7853365499664923
11494,2025-02-24 23:35:00,0.2981,1.008,0.0,1,-1,-0.03929735010079105,0.7853303503761868
11495,2025-02-24 23:36:00,0.2972,1.008,0.0,1,-1,-0.03692296906854542,0.7853241894552194
11496,2025-02-24 23:37:00,0.2982,1.0097,0.0,1,-1,-0.03787601685595854,0.7853180328028494
11497,2025-02-24 23:38:00,0.299,1.0134,0.0,1,-1,-0.036322407430724124,0.7853121386980447
11498,2025-02-24 23:39:00,0.3012,1.0187,0.0,1,-1,-0.03686334498401356,0.7853059335908879
11499,2025-02-24 23:40:00,0.3017,1.0149,0.0,1,-1,-0.04190304334685435,0.7852999400797334
11500,2025-02-24 23:41:00,0.3044,1.0211,0.0,1,-1,-0.04280904196303237,0.7852942964967496
11501,2025-02-24 23:42:00,0.3044,1.0208,0.0,1,-1,-0.043102601430846765,0.7852888737110869
11502,2025-02-24 23:43:00,0.3029,1.0179,0.0,1,-1,-0.0420681251690298,0.7852832156800901
11503,2025-02-24 23:44:00,0.3032,1.0194,0.0,1,-1,-0.04137283058578822,0.7852775010103472
11504,2025-02-24 23:45:00,0.3035,1.0206,0.0,1,-1,-0.04097276198690358,0.7852721080585026
11505,2025-02-24 23:46:00,0.3011,1.0144,0.0,1,-1,-0.04083153971272813,0.7852668195535735
11506,2025-02-24 23:47:00,0.3025,1.0175,0.0,1,-1,-0.04142275867961098,0.7852612814450749
11507,2025-02-24 23:48:00,0.3006,1.0134,0.0,1,-1,-0.04051243464640475,0.7852559871244377
11508,2025-02-24 23:49:00,0.3002,1.0101,0.0,1,-1,-0.042728241458528715,0.785250722952468
11509,2025-02-24 23:50:00,0.2975,1.0051,0.0,1,-1,-0.04059583699068281,0.785245666334677
11510,2025-02-24 23:51:00,0.2986,1.0068,0.0,1,-1,-0.041803718239701304,0.7852405610683177
11511,2025-02-24 23:52:00,0.298,1.0075,0.0,1,-1,-0.039529053877701226,0.7852356125868605
11512,2025-02-24 23:53:00,0.3002,1.0088,0.0,1,-1,-0.04401484905651365,0.7852309608696992
11513,2025-02-24 23:54:00,0.3007,1.0103,0.0,1,-1,-0.04383526567766183,0.7852266217514047
11514,2025-02-24 23:55:00,0.301,1.0095,0.0,1,-1,-0.04540990515657417,0.7852219917544975
11515,2025-02-24 23:56:00,0.3005,1.0079,0.0,1,-1,-0.045690051779547214,0.7852177169035739
11516,2025-02-24 23:57:00,0.3008,1.0073,0.0,1,-1,-0.04706827173066008,0.7852138981608373
11517,2025-02-24 23:58:00,0.3018,1.0101,0.0,1,-1,-0.04689774174243333,0.7852100493137102
11518,2025-02-24 23:59:00,0.3012,1.009,0.0,1,-1,-0.04642402757376041,0.785206023850532
11519,2025-02-25 00:00:00,0.303,1.0124,0.0,1,-1,-0.04773786352409737,0.7852015432768588
11520,2025-02-25 00:01:00,0.3032,1.0116,0.0,1,-1,-0.049045733587631646,0.7851972793031012
11521,2025-02-25 00:02:00,0.3045,1.0191,0.0,1,-1,-0.04501809080989094,0.7851920445147083
11522,2025-02-25 00:03:00,0.3027,1.0203,0.0,1,-1,-0.039185907684607946,0.785186354321315
11523,2025-02-25 00:04:00,0.2996,1.0135,0.0,1,-1,-0.03779008529562167,0.785181466917133
11524,2025-02-25 00:05:00,0.2993,1.0108,0.0,1,-1,-0.0396704736483966,0.7851780742272548
11525,2025-02-25 00:06:00,0.2979,1.005,0.0,1,-1,-0.04174280003506359,0.785175635873734
11526,2025-02-25 00:07:00,0.2958,0.9974,0.0,1,-1,-0.04377793406006614,0.7851742744834022
11527,2025-02-25 00:08:00,0.2947,0.9911,0.0,1,-1,-0.047187440356221355,0.7851741029838396
11528,2025-02-25 00:09:00,0.2947,0.9918,0.0,1,-1,-0.04647935467841413,0.785175504100985
11529,2025-02-25 00:10:00,0.2934,0.9871,0.0,1,-1,-0.04775591518276212,0.7851775444656696
11530,2025-02-25 00:11:00,0.2911,0.9833,0.0,1,-1,-0.045431098278504556,0.7851807259844289
11531,2025-02-25 00:12:00,0.2924,0.9865,0.0,1,-1,-0.045678420315356294,0.7851829962731308
11532,2025-02-25 00:13:00,0.2914,0.9821,0.0,1,-1,-0.047456354117028865,0.7851852207765598
11533,2025-02-25 00:14:00,0.2907,0.9785,0.0,1,-1,-0.049237943661901706,0.7851870815350236
